condition,sample_id,temperature,output_story
Zero-Shot (Knowledge-Based),1,0.7,"Boyie and doggie had frogie in a juggy. They were happy, so they went night-night. Frogie sneaky, sneak-sneak, went out and went for a walk.

Next day, boyie and doggie wakey wake, frogie gone. They look everywhere, even in shoes. Doggie look back in juggy, but his head stuck. They yell, 'Frog, where you?' Doggie fall out window, and jar breaky break. Boyie no happy 'cause jar break.

Boyie and doggie go in forest, look for frog. Doggie see bee-bees, play with them. Boyie say, 'Frog, where you?' Prairie dog go 'Pffft' and boyie say 'Ow!' Dog howling, bee-bees chasing dog. Boyie climb up rock, say, 'Frog, where you?' But it's deer's antler! Boyie get stuck, deer run, boyie fall down. Splashy splash!

Boyie say, 'Shh', doggie too. Look on other side log, see mommy frog, daddy frog, and little froggy. They say goodbye, take froggy, and go home. Everyone happy. The end."
Zero-Shot (Knowledge-Based),2,0.7,"Little boy and doggy have froggy. Froggy in jar. They happy. Go sleep. 

Next day, little boy and doggy wake up. Froggy gone. They look everywhere. Boy look in shoes. Dog look in jar. Oh no! Doggy's head stuck in jar.

They yell, 'Froggy, where you?' Doggy fall out window. Doggy hurt. Boy sad. Jar broke.

They go in forest. Look for froggy. Doggy see bumblebees. Boy see hole. Doggy play with bumblebees. Bumblebees chase doggy.

Boy say, 'Froggy, where you?' Prairie dog hit boy in nose. Owl hit boy down. Bumblebees chase doggy. 

Boy climb rock. Say, 'Froggy, where you?' But it deer's antler! Boy stuck on deer's head. Deer run. Doggy come with. 

Deer stop at cliff. Down go boy and doggy. Splash! Water. 

Boy say, 'Shh.' 'Look other side log.' Boy and doggy see mommy frog, daddy frog, and little froggy family. They take froggy home. Everyone happy."
Zero-Shot (Knowledge-Based),3,0.7,"The little boy had a froggy friend. He put froggy in a jar. Froggy was happy too. Then they went to sleep. Froggy got out. He wanted to go on an adventure. 

The little boy woke up. Froggy was gone. He looked everywhere. The little boy even looked in his shoes. He said 'Where's froggy?' The little doggy looked in the jar. His head got stuck. 

They yelled 'Froggy, where are you?' But doggy fell out the window. He broke the jar. The little boy was sad. The jar was broken. 

They went to the forest. They looked for froggy. Doggy was playing with bumblebees. The little boy looked in a hole. He said 'Froggy, where are you?' 

A prairie dog hit him in the nose. Doggy was chasing bumblebees. An owl knocked the little boy down. The bumblebees chased doggy. 

The little boy climbed a big rock. He said 'Froggy, where are you?' But it was a deer's antler. The boy got stuck. The deer ran. The boy fell down. 

He went into the water. Splash! Then they heard a noise. They said 'Shh'. They looked on the other side of the log. They saw mommy frog and daddy frog. And they saw froggy! They said goodbye to mommy frog and daddy frog. And they went home. The little boy was happy."
Zero-Shot (Knowledge-Based),4,0.7,"Little boy and doggy friend. They had a froggy. They put froggy in a jar. They were happy. Then they went night-night. Froggy got out. Froggy went for a walk.

Next day, froggy gone. Boy and doggy look everywhere. Boy look in shoes, dog look in jar. Dog's head stuck. Boy and doggy yell, 'Froggy, where you?' Doggy fall out window. Jar break. Boy not happy.

Boy and doggy go to forest. Look for froggy. Doggy see bumblebees. Boy see hole. Doggy play with bumblebees. Boy say, 'Froggy, where you?' Prairie dog hit boy's nose. Owl knock boy down. Bumblebees chase doggy.

Boy go up rock. Say, 'Froggy, where you?' Hold branch. But it's deer's antler. Boy get stuck. Deer run. Boy and doggy fall down cliff. Splash! In water.

Boy say, 'Shh'. Doggy be quiet. Look on log. See mommy frog, daddy frog. Lots of froggy friends. They take little froggy home. Boy and doggy happy. Froggy happy. Everyone home."
Zero-Shot (Knowledge-Based),5,0.7,"Boy and doggy had a froggy friend. They put froggy in a jar. Then they went to sleep. Froggy went out and said 'I wanna go for a walk.'

Next day, boy and doggy wake up, froggy gone! They looked everywhere. Boy looked in shoes, doggy looked in jar. Doggy's head got stuck in jar.

They yelled 'Froggy, where are you?' Doggy fell out window. He broke jar off head. Boy was sad. Jar was broken.

Boy and doggy go to forest, look for froggy. Doggy play with bees, boy look in hole. Prairie dog smack boy in nose. Owl knock boy down. Bees chase doggy.

Boy go on big rock, say 'Froggy, where are you?' He get stuck on deer's head. Deer run, boy and doggy fall in water. Splash!

Boy say 'Shh' to doggy. They go look on other side of log. They see mommy frog, daddy frog, and froggy's family. They take froggy home. Everyone happy. Yay!"
Zero-Shot (Knowledge-Based),6,0.7,"The little boy and doggy had a froggy in a jar. They were super happy. Then they went night-night. Froggy got out and went for a little walk. Next day, little boy and doggy woke up, froggy gone. They looked everywhere, 'Where froggy?'

Doggy stuck his head in the jar. Then they opened the window and yelled, 'Froggy, where you?' Doggy fell out the window. Jar broke, doggy licked the boy. Boy not happy about jar.

They went to the forest to find froggy. Doggy playing with bumblebees. Little boy looked in a hole, said 'Froggy, where you?' Prairie dog smacked him in the nose. Doggy chasing bumblebees, owl knocked boy down. Bumblebees chasing doggy.

Boy climbed up a big rock, said 'Froggy, where you?' But it was a deer's antler! Boy got stuck, deer ran. Doggy came with him. They went down, splash, in the water.

Boy said 'Shh' to doggy. 'Look on the other side of the log.' They saw mommy and daddy frog, little froggy's family. They took little froggy home. Everyone happy."
Zero-Shot (Knowledge-Based),7,0.7,"The little boy and the doggy friend. They had a little froggy in a jar. They were happy. Then they went to sleep. 

The froggy went outside. He went for a walk. He was gone. The boy and doggy looked everywhere. The boy looked in his shoes. The doggy looked in the jar. He got his head stuck. 

They said, 'Froggy, where are you?' They opened the window. The doggy fell out. He broke the jar. The boy wasn't happy. 

They went to the woods. They looked for froggy. The doggy saw bees. The boy saw a hole. The doggy was playing with bees. 

The boy said, 'Froggy, where are you?' A doggy smacked him. The bees chased the doggy. 

The boy went on a rock. He said, 'Froggy, where are you?' It was a deer. The boy got stuck. The deer ran. The doggy came with him. 

They went down the hill. They went splash in the water. 

The boy said, 'Shh.' They looked on the log. They saw mommy frog and daddy frog. They saw little froggy's friends. They took froggy home. Everyone was happy. The end."
Zero-Shot (Knowledge-Based),8,0.7,"Me boy and doggy friend, we had a froggy. We put him in a glass thingy. We were happy. Then we went nighty-night. Froggy woke up and went for a walk. Next day, he was gone. Me boy and doggy looked everywhere. They even looked in the glass thingy. Doggy's head got stuck in the glass thingy.

Me boy and doggy went outside. They yelled for froggy. 'Froggy, where you?' Doggy fell down. He broke the glass thingy. Me boy was sad. They looked in the woods. Doggy saw bumblebees. He wanted to chase them. Me boy saw a hole. He said 'Froggy, where you?' Prairie dog hit me boy in the nose.

Doggy was chasing bumblebees. Owl came and hit me boy down. Bumblebees chased doggy. Me boy climbed up high. He said 'Froggy, where you?' He was stuck on a deer's head. Deer ran and me boy fell down. They went in the water. Splash!

Me boy said 'Shh' to doggy. 'Let's look on the other side.' They saw mommy and daddy frog. They saw froggy's friends. They said goodbye and took froggy home. Everyone happy. The end!"
Zero-Shot (Knowledge-Based),9,0.7,"Boyie and doggy have froggy in a jar. They like froggy. They go sleep. Froggy go 'I wanna go out.' He jump out. Next morning, froggy gone. Boyie and doggy sad. They look everywhere. Doggy get head stuck in jar.

Boyie and doggy yell 'Froggy, where you?' But doggy fall out window. Jar go 'bop' on doggy's head. Boyie not happy. Jar breaky.

They go in woods. Doggy play with bees. Boyie look down hole. Prairie dog go 'boing!' on Boyie's nose. Owl go 'Hoo!' and knock Boyie down. Bees chase doggy.

Boyie go on big rock. 'Froggy, where you?' But it's deer's head. Boyie get stuck. Deer run, doggy come. Deer stop, Boyie and doggy go 'whoosh!' down cliff. Splash! Water!

Boyie say 'Shh!' to doggy. 'Look over log.' They see mommy frog, daddy frog, and little froggy family! They get little froggy and go home. Everyone happy."
Zero-Shot (Knowledge-Based),10,0.7,"Boyie and doggie, they had froggy in a jar. They were so happy. Then they went sleep. Froggy got out, he went for walk. Next day, boyie and doggie wake up, froggy gone. They look everywhere. Boyie look in shoes, doggie look in jar. Doggie's head get stuck in jar. 

Boyie and doggie say 'Froggy, where you?' But froggy not here. They open window, yell 'Froggy!' Doggie fall out window, break jar. Boyie not happy 'cause jar break.

They go forest, look for froggy. Doggie see bumblebees, want to catch. Boyie see hole, look in. Prairie dog smack boyie in nose. Owl knock boyie down. Bumblebees chase doggie.

Boyie climb rock, say 'Froggy, where you?' But it antler of big deer! Boyie get stuck. Deer run, boyie and doggie fall in water. Splash!

Boyie say 'Shh' to doggie. 'Look on other side log.' They see mommy frog, daddy frog, little froggy. They take little froggy, say bye to frogs. Go home, everyone happy."
