corpus,age_raw,story_id,transcript
ENNI,4;09.07,A1,"um um they looking at the apples. um and and somebody throwed the apple in. &-um , and that giraffe wanna get it. and the giraffe wanna get it. get it. and he got it. yeah. and then elephant hugging it."
ENNI,4;09.07,A2,&-um them looking at the water. and and that elephant and that elephant and that elephant &-um runned. and fast. yeah. and... and he and he got a owie. and and he look looking at it. and they looking... and the giraffe and the elephant looking at it. yep and and and the guy and the guy put a bandage on it. yeah and and and and a elephant and a elephant sit down. yeah and holding and holding it. yeah.
ENNI,4;09.07,A3,"&-um a giraffe , got a airplane. a giraffe got a airplane. yeah and and he flied it. and and and the elephant taked it from him and throwed and throwed it in the water. and they +/. and and and they... and the giraffe got mad at him. and , and and and and the and the and the man got sad. and and the elephant...... and , he took um , I haven't told him he got in the water. in the water. um um elephant told him , that elephant is in the water. and and the and the man tried to get it. yeah and and and the giraffe and the giraffe cried. cried. yeah. and and the and the get it. the girl get it. yeah. yeah. and and she got it. yeah... and the giraffe and and the girl and the girl give it to him. yeah and and giraffe holding it. was holding it."
ENNI,4;09.07,B1,um and a... a rabbit and a rabbit and a dog was making a castle. a rabbit comed at the dog's &-um sandbox. a a rabbit a rabbit comed at the dog's um san sand. yeah. and the and the rabbit was making um... digging a hole. digging a hole. yeah and and and and um and and uh and he and he got the pot on the bucket down. bucket. no. a bucket. yeah. and and the sand got out. yeah. and and and and he and he do this. yeah. and and and that puppy was looking at it. and and he fw and and and he cried.
ENNI,4;09.07,B2,"um um and the dog and the rabbit was having a picnic. yeah and and and a and a rabbit have a carrot and a sandwich. yeah and and he had... and a dog was still eating. yeah. and he was having a drink. drink. yeah a dog. a dog. yeah. and and there's a puppy that that that um that , girl... that doctor... a doctor rabbit. yeah the dog got it. yeah. and and he pulled him shirt. yeah. and he got and he got him. yeah and and he bring him at the doctor's. bring him at the doctors."
ENNI,4;09.07,B3,"a pup a puppy was got a um a balloon on on the on the wagon. got a a balloon. on the wagon. wag. yeah. and and that and that and that rabbit was and he smiled a rabbit and take it off. yeah and and and and the and the balloon was getting away. yeah and and and the balloon popped. yeah and and the rab... and and the balloon man rabbit gotted a balloons. yeah. the balloons. yeah , and and and they and the rabbit got one. yeah , they got... he got one. yeah , and and he did n(o)t give them one. no , and a doctor was there. doctor was there. yeah and and and a rabbit and a rabbit said the rab... a doctors... a rabbit said that a... doctor I needed a balloon. and they give they they one. they gived one of them. and they got got one. one of the rabbit and one of the... a puppy. yeah."
EisenbergGuo,3;02.,Donut,&~sh where she come where where she going? where she going? why &~sh she stop driving? and then +... she 0is no more. 0. whose hand is that?
EisenbergGuo,3;02.,Bubbles,"she can't blow bubble. look , she's +... what they doing? and then he cries. why he's why he's doing?"
EisenbergGuo,3;02.,Scissors,"she colored. why he why he's +... look. and then , where where's the doggy? who's that? who's +/. 0."
EisenbergGuo,3;02.,Snow,they're playing with 0the snowman. where the snowman? where's the snowman? 0is this the &~snow? and then where he's cleaned it? and a car come. 0. what is that what is that what is that what is that?
EisenbergGuo,3;02.,Supermarket,they're running. what he's doing? he's pulling out the the food. what? why? what he do? 0. what what she doing?
EisenbergGuo,3;02.,Cookie,he's gonna go on this. but he's falling. 0. what he getting? and the and the the water blast up. the water 0is out. and then and then mom cleaned it. what he's doing? what he's &~d what he's doing? 0.
EisenbergGuo,3;02.,Bus,"the firetruck 0is in it. they 0are mad. 0. and then , the bus can't move. bus can't move. 0. 0."
EisenbergGuo,3;02.,Doll,what he's doing? 0. what is this? it's a house. 0.
EisenbergGuo,3;02.,Dressing,0a dog is in it. dog's in it. he went he's in the shoe. daddy &~h he's tie 0the tie. touch tie. touching the tie. 0. and he eat the shoe. he's wearing a hat.
EisenbergGuo,3;02.,Sandbox,&~h he's she's putting the salt away. he's crying. 0. what she's doing? 0. 0. and she falls. &~um the mom fells.
EisenbergGuo,3;02.,Snow,he fall. he's doing. he's he's sweeping the snow. and the and the and the mommy is driving the on the snow. and then she falls. and he &~s he sip he slip in the snow.
EisenbergGuo,3;02.,Washing,the dog go here. &~th &~um the dog. he's he 0is putting some over there. yeah. and the and the water come. and she's drinking.
EisenbergGuo,3;02.,Cat,and she's watching it. and she fell in the snow. he fell. and then and she fell. 0. and she fell.
EisenbergGuo,3;02.,Cake,he got a birthday. and then the snow is right here. the cake fell. the cake. and he fell. and he put his mouth here on in his mouth.
EisenbergGuo,3;02.,Doll,she run. and the man &~f put her this on here. this the dolly there. and then and he she fell. and and she fell.
