cohort,target_story,target_subject_ids,target_age,e1_story,td_baselines,e2_subject_ids,e2_subject_age,e2_story,dld_outputs
4-year-old,A1,407,4;02.18,B1,10,444,4;02.04,B3,100
4-year-old,A2,445,4;04.09,B1,10,480,4;04.05,B3,100
4-year-old,A3,419,4;05.29,B3,10,478,4;06.04,B2,100
4-year-old,A1,411/451,4;06.20,B2,10,482,4;06.20,B1,100
4-year-old,A2,406/469,4;07.15,B2,10,427,4;07.16,B1,100
4-year-old,A3,459/415,4;08.04,B3,10,477,4;08.03,B2,100
4-year-old,B1,464/455,4;08.09,A1,10,475,4;08.12,A3,100
4-year-old,B2,405/461,4;08.15,A2,10,474,4;08.18,A1,100
4-year-old,B3,471,4;09.07,A2,10,476,4;09.07,A3,100
4-year-old,B1,472,4;09.07,A1,10,479,4;09.08,A2,100
4-year-old,B2,439,4;11.06,A3,10,413,4;10.26,A2,100
4-year-old,B3,443,4;11.15,A3,10,420,4;11.16,A1,100
5-year-old,A1,"528 2",5;00.24,B3,10,574,5;00.26,B1,100
5-year-old,A2,510,5;01.12,B3,10,573,5;01.05,B1,100
5-year-old,A3,545,5;01.12,B2,10,529,5;01.11,B3,100
5-year-old,A1,555,5;02.24,B1,10,567,5;01.12,B2,100
5-year-old,A2,552,5;04.05,B1,10,575,5;02.25,B2,100
5-year-old,A3,554,5;05.01,B2,10,531,5;04.07,B3,100
5-year-old,B1,511,5;05.10,A3,10,572,5;05.00,A1,100
5-year-old,B2,544,5;05.21,A1,10,535,5;05.09,A2,100
5-year-old,B3,517,5;05.25,A3,10,"568 2",5;05.21,A2,100
5-year-old,B1,516,5;07.14,A2,10,"576 2",5;07.11,A1,100
5-year-old,B2,532,5;07.29,A2,10,569,5;07.25,A3,100
5-year-old,B3,530,5;09.12,A1,10,570,5;09.21,A3,100
