File,0adv,0art,0aux,0conj,0det,0for,0in,0it,0ne,0obj,0on,0one,0play,0prep ,0subj,0sux,0that,0to,0v,0with
548_B3.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409_B3.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518_B2.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459_B2.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_B3.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501_B3.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415_B3.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427_B2.cha,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
403_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410_B2.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533_B2.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504_B2.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472_B2.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463_B2.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454_B2.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515_B2.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522_B2.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401_B2.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
425_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404_B3.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510_B3.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
