File_ID,agreement_errors
401,3
402,1
403,0
404,0
405,1
406,2
407,1
408,3
409,0
410,0
411,1
412,0
413,10
414,0
415,7
416,4
417,0
418,1
419,0
421,1
423,10
425,1
427,2
429,4
439,0
441,0
443,0
444,2
446,0
448,1
450,18
452,0
454,1
455,1
456,3
457,4
458,0
459,0
460,2
461,0
463,0
464,1
465,0
466,1
468,1
469,0
471,0
472,2
474,0
475,0
476,0
477,0
478,0
479,4
480,7
482,0
501,0
502,0
503,0
504,4
505,0
506,0
507,0
508,5
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,1
520,0
522,4
523,1
524,3
526,0
527,5
528,2
529,2
530,0
531,3
532,0
533,0
535,10
536,1
538,0
539,0
541,0
543,2
544,0
545,2
547,0
548,0
549,0
551,0
553,0
555,0
557,2
559,0
561,0
562,1
564,0
565,0
567,5
568,1
569,10
570,5
571,0
572,12
574,2
575,0
576,5
601,0
602,0
603,0
604,3
605,0
606,0
607,13
608,4
609,13
610,0
611,3
612,1
613,4
614,0
615,3
616,1
617,0
618,0
620,0
622,0
624,1
625,1
626,0
628,0
630,0
632,2
634,0
636,0
637,0
639,1
641,0
645,0
647,1
648,0
649,0
650,0
651,2
652,1
653,0
654,0
655,0
656,2
657,0
658,1
659,1
660,0
661,0
663,1
664,0
665,0
667,37
669,0
670,0
671,0
673,21
676,0
677,0
678,26
679,5
680,1
701,0
702,0
704,1
705,0
706,0
707,0
708,0
709,0
711,0
712,0
713,0
714,0
716,1
717,1
718,0
720,0
721,3
722,0
723,2
724,0
725,1
726,0
727,10
728,2
729,12
730,0
731,33
732,4
733,7
735,0
736,6
737,0
738,0
739,3
743,1
744,1
746,0
748,0
750,0
752,0
754,0
755,1
756,0
757,0
758,0
759,1
760,3
761,0
762,0
763,0
764,1
765,0
766,0
767,0
768,6
769,0
770,0
771,0
772,3
773,0
774,6
777,1
778,9
801,0
802,0
803,2
804,4
805,0
806,0
808,2
809,0
810,0
811,1
812,1
813,0
815,1
816,0
817,8
818,0
819,5
820,1
821,4
822,0
823,2
824,1
825,1
826,0
827,4
828,0
829,32
830,0
831,2
834,1
836,0
837,0
838,0
840,0
842,1
843,0
844,0
845,0
847,0
848,0
849,0
850,1
851,2
852,0
853,0
854,0
856,0
863,2
865,0
866,1
867,0
868,0
869,0
870,9
871,2
872,1
874,18
875,6
877,3
878,1
879,19
880,0
902,0
903,4
904,2
905,0
906,0
907,0
908,5
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,2
917,0
918,0
919,0
920,4
921,0
922,3
923,0
924,4
925,0
926,0
927,0
928,0
929,0
931,0
932,3
933,0
934,0
935,6
937,0
939,0
941,0
945,0
947,0
949,5
951,2
953,0
955,1
956,0
957,0
958,0
959,1
960,0
961,0
962,0
963,0
964,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,10
974,0
