left_column,right_column,overlap_rows,pearson_r,spearman_rho,abs_pearson_r,exact_equal_on_overlap,max_abs_diff,mean_abs_diff
DSS_tbl_warning_50,severity_use_with_caution,360,1.000000,1.000000,1.000000,1,0.000000,0.000000
VOCD_D_optimum_average_severity_z,severity_lexical,360,1.000000,1.000000,1.000000,1,0.000000,0.000000
Word_Errors_per_utt_severity_z,severity_morphosyntax_burden,360,0.986130,0.925964,0.986130,0,8.185054,0.458819
DSS_tbl_score_severity_z,severity_structural,360,0.970835,0.883220,0.970835,0,3.252675,0.385625
DSS_tbl_MV_severity_z,severity_structural,360,0.967713,0.853995,0.967713,0,18.335483,0.454255
severity_core_composite,severity_domain_composite,360,0.958476,0.885282,0.958476,0,4.886489,0.378277
severity_morphosyntax_burden,severity_core_composite,360,0.956812,0.634269,0.956812,0,10.484712,0.479465
severity_morphosyntax_burden,severity_domain_composite,360,0.952804,0.612739,0.952804,0,12.713490,0.553588
Word_Errors_per_utt_severity_z,severity_core_composite,360,0.936270,0.556773,0.936270,0,18.669766,0.802940
DSS_tbl_score_severity_z,DSS_tbl_MV_severity_z,360,0.935927,0.710146,0.935927,0,15.082808,0.669964
DSS_tbl_score_severity_z,DSS_tbl_CNJ_severity_z,360,0.933745,0.773093,0.933745,0,6.446951,0.553913
Word_Errors_per_utt_severity_z,severity_domain_composite,360,0.931108,0.555167,0.931108,0,20.898544,0.897998
DSS_tbl_MV_severity_z,severity_domain_composite,360,0.913227,0.678917,0.913227,0,23.388545,0.717723
MLU_Morphemes_severity_z,severity_structural,360,0.905365,0.800057,0.905365,0,6.902744,0.558942
severity_structural,severity_domain_composite,360,0.904931,0.679720,0.904931,0,5.053062,0.601473
DSS_tbl_MV_severity_z,determiner_errors_per_word_severity_z,360,0.903027,0.099459,0.903027,0,31.824572,1.188855
DSS_tbl_CNJ_severity_z,severity_structural,360,0.900080,0.661289,0.900080,0,3.194276,0.653196
VOCD_D_optimum_average_severity_z,severity_domain_composite,360,0.887146,0.703501,0.887146,0,4.837834,0.622722
severity_lexical,severity_domain_composite,360,0.887146,0.703501,0.887146,0,4.837834,0.622722
DSS_tbl_score_severity_z,severity_domain_composite,360,0.882214,0.585142,0.882214,0,8.305737,0.736202
determiner_errors_per_word_severity_z,severity_domain_composite,360,0.881219,0.323747,0.881219,0,55.213117,0.920956
DSS_tbl_MV_severity_z,severity_lexical,360,0.876731,0.517883,0.876731,0,18.550711,0.884379
VOCD_D_optimum_average_severity_z,DSS_tbl_MV_severity_z,360,0.876731,0.517883,0.876731,0,18.550711,0.884379
severity_structural,severity_core_composite,360,0.875474,0.832195,0.875474,0,8.567263,0.544639
IPSyn_Total_severity_z,severity_structural,351,0.866149,0.836245,0.866149,0,14.685413,0.485610
