File_ID,DSS_tbl_source,DSS_tbl_relpath,DSS_tbl_transcript,DSS_tbl_transcript_relpath,DSS_tbl_command,DSS_tbl_score,DSS_tbl_score_is_na,DSS_tbl_warning_50,DSS_tbl_CNJ,DSS_tbl_IP,DSS_tbl_IR,DSS_tbl_MV,DSS_tbl_NG,DSS_tbl_PP,DSS_tbl_S,DSS_tbl_SV,DSS_tbl_TOT,DSS_tbl_WHQ
474,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/0noaudio/474.tbl.cex,phase2/measures/dss/SLI/A/0noaudio/474.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/474.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/474.cha,dss +t*CHI +deng.cut +leng,8.24,0,0,70,41,1,97,18,114,50,19,412,2
475,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/0noaudio/475.tbl.cex,phase2/measures/dss/SLI/A/0noaudio/475.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/475.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/475.cha,dss +t*CHI +deng.cut +leng,7.48,0,0,79,26,0,98,7,110,50,4,374,0
476,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/0noaudio/476.tbl.cex,phase2/measures/dss/SLI/A/0noaudio/476.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/476.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/476.cha,dss +t*CHI +deng.cut +leng,8.00,0,0,135,31,0,96,14,50,49,25,400,0
477,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/0noaudio/477.tbl.cex,phase2/measures/dss/SLI/A/0noaudio/477.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/477.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/477.cha,dss +t*CHI +deng.cut +leng,8.03,0,1,81,10,0,55,0,54,29,4,233,0
478,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/0noaudio/478.tbl.cex,phase2/measures/dss/SLI/A/0noaudio/478.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/478.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/478.cha,dss +t*CHI +deng.cut +leng,5.19,0,1,3,24,0,48,0,13,25,22,135,0
482,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/0noaudio/482.tbl.cex,phase2/measures/dss/SLI/A/0noaudio/482.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/482.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/482.cha,dss +t*CHI +deng.cut +leng,8.63,0,1,74,9,0,45,0,61,27,11,233,6
523,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/0noaudio/523.tbl.cex,phase2/measures/dss/SLI/A/0noaudio/523.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/523.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/523.cha,dss +t*CHI +deng.cut +leng,6.64,0,0,29,14,2,128,0,79,50,28,332,2
575,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/0noaudio/575.tbl.cex,phase2/measures/dss/SLI/A/0noaudio/575.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/575.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/575.cha,dss +t*CHI +deng.cut +leng,9.18,0,0,139,29,0,117,14,76,50,34,459,0
613,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/0noaudio/613.tbl.cex,phase2/measures/dss/SLI/A/0noaudio/613.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/613.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/613.cha,dss +t*CHI +deng.cut +leng,5.38,0,0,54,14,0,75,0,69,44,13,269,0
413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/413.tbl.cex,phase2/measures/dss/SLI/A/413.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/413.cha,data/annotated/ENNI_batchalign/SLI/A/413.cha,dss +t*CHI +deng.cut +leng,5.55,0,1,57,20,0,36,0,18,26,4,161,0
