File_ID,error_source,error_relpath,chi_utterances,chi_utterances_with_error_code,error_total_annotations,bare_marking_errors,bare_marking_errors_per_utt,determiner_errors,determiner_errors_per_utt,pronoun_errors,pronoun_errors_per_utt,rule_generalization_errors,rule_generalization_errors_per_utt
474,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/474.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/474.cha,100,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000
475,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/475.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/475.cha,64,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000
476,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/476.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/476.cha,97,1,1,0,0.000000,0,0.000000,0,0.000000,1,0.010309
477,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/477.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/477.cha,62,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000
478,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/478.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/478.cha,58,4,4,0,0.000000,0,0.000000,0,0.000000,4,0.068966
482,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/482.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/482.cha,62,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000
523,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/523.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/523.cha,106,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000
575,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/575.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/575.cha,91,3,3,0,0.000000,0,0.000000,0,0.000000,2,0.021978
613,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/613.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/613.cha,61,8,9,4,0.065574,1,0.016393,0,0.000000,0,0.000000
413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/413.cha,data/annotated/ENNI_batchalign/SLI/A/413.cha,73,6,11,5,0.068493,0,0.000000,4,0.054795,1,0.013699
444,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/444.cha,data/annotated/ENNI_batchalign/SLI/A/444.cha,100,4,6,2,0.020000,0,0.000000,0,0.000000,3,0.030000
479,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/479.cha,data/annotated/ENNI_batchalign/SLI/A/479.cha,72,8,10,4,0.055556,0,0.000000,0,0.000000,3,0.041667
529,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/529.cha,data/annotated/ENNI_batchalign/SLI/A/529.cha,83,5,6,3,0.036145,0,0.000000,0,0.000000,0,0.000000
568,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/568.cha,data/annotated/ENNI_batchalign/SLI/A/568.cha,69,2,2,1,0.014493,0,0.000000,0,0.000000,1,0.014493
570,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/570.cha,data/annotated/ENNI_batchalign/SLI/A/570.cha,88,11,13,6,0.068182,0,0.000000,0,0.000000,5,0.056818
572,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/572.cha,data/annotated/ENNI_batchalign/SLI/A/572.cha,178,20,20,11,0.061798,1,0.005618,1,0.005618,5,0.028090
574,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/574.cha,data/annotated/ENNI_batchalign/SLI/A/574.cha,86,2,2,1,0.011628,0,0.000000,1,0.011628,0,0.000000
607,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/607.cha,data/annotated/ENNI_batchalign/SLI/A/607.cha,90,19,23,13,0.144444,0,0.000000,0,0.000000,4,0.044444
609,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/609.cha,data/annotated/ENNI_batchalign/SLI/A/609.cha,142,19,19,12,0.084507,0,0.000000,3,0.021127,1,0.007042
617,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/617.cha,data/annotated/ENNI_batchalign/SLI/A/617.cha,86,4,4,0,0.000000,0,0.000000,0,0.000000,2,0.023256
625,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/625.cha,data/annotated/ENNI_batchalign/SLI/A/625.cha,82,8,8,2,0.024390,0,0.000000,0,0.000000,4,0.048780
678,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/678.cha,data/annotated/ENNI_batchalign/SLI/A/678.cha,81,26,28,27,0.333333,0,0.000000,0,0.000000,0,0.000000
717,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/717.cha,data/annotated/ENNI_batchalign/SLI/A/717.cha,83,4,4,1,0.012048,0,0.000000,0,0.000000,0,0.000000
721,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/721.cha,data/annotated/ENNI_batchalign/SLI/A/721.cha,88,8,9,3,0.034091,0,0.000000,0,0.000000,1,0.011364
725,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/725.cha,data/annotated/ENNI_batchalign/SLI/A/725.cha,207,5,5,2,0.009662,0,0.000000,0,0.000000,0,0.000000
729,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/729.cha,data/annotated/ENNI_batchalign/SLI/A/729.cha,159,19,21,8,0.050314,0,0.000000,5,0.031447,2,0.012579
733,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/733.cha,data/annotated/ENNI_batchalign/SLI/A/733.cha,68,11,11,8,0.117647,0,0.000000,0,0.000000,1,0.014706
777,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/777.cha,data/annotated/ENNI_batchalign/SLI/A/777.cha,58,5,5,2,0.034483,0,0.000000,0,0.000000,1,0.017241
817,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/817.cha,data/annotated/ENNI_batchalign/SLI/A/817.cha,71,10,11,8,0.112676,0,0.000000,0,0.000000,3,0.042254
821,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/821.cha,data/annotated/ENNI_batchalign/SLI/A/821.cha,74,8,8,4,0.054054,0,0.000000,0,0.000000,1,0.013514
825,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/825.cha,data/annotated/ENNI_batchalign/SLI/A/825.cha,81,3,3,1,0.012346,0,0.000000,0,0.000000,2,0.024691
829,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/829.cha,data/annotated/ENNI_batchalign/SLI/A/829.cha,69,31,38,27,0.391304,0,0.000000,6,0.086957,5,0.072464
871,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/871.cha,data/annotated/ENNI_batchalign/SLI/A/871.cha,74,7,7,2,0.027027,0,0.000000,0,0.000000,3,0.040541
878,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/878.cha,data/annotated/ENNI_batchalign/SLI/A/878.cha,72,4,4,1,0.013889,0,0.000000,0,0.000000,2,0.027778
880,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/880.cha,data/annotated/ENNI_batchalign/SLI/A/880.cha,114,3,3,0,0.000000,0,0.000000,0,0.000000,2,0.017544
922,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/922.cha,data/annotated/ENNI_batchalign/SLI/A/922.cha,207,7,7,3,0.014493,0,0.000000,0,0.000000,1,0.004831
926,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/926.cha,data/annotated/ENNI_batchalign/SLI/A/926.cha,87,8,9,3,0.034483,0,0.000000,0,0.000000,2,0.022989
973,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/973.cha,data/annotated/ENNI_batchalign/SLI/A/973.cha,66,17,18,11,0.166667,0,0.000000,0,0.000000,4,0.060606
427,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/427.cha,data/annotated/ENNI_batchalign/SLI/B/427.cha,79,4,5,2,0.025316,0,0.000000,0,0.000000,0,0.000000
480,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/480.cha,data/annotated/ENNI_batchalign/SLI/B/480.cha,168,10,10,7,0.041667,0,0.000000,0,0.000000,1,0.005952
527,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/527.cha,data/annotated/ENNI_batchalign/SLI/B/527.cha,141,4,5,4,0.028369,0,0.000000,1,0.007092,0,0.000000
531,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/531.cha,data/annotated/ENNI_batchalign/SLI/B/531.cha,73,3,3,3,0.041096,0,0.000000,0,0.000000,0,0.000000
535,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/535.cha,data/annotated/ENNI_batchalign/SLI/B/535.cha,84,10,12,7,0.083333,1,0.011905,0,0.000000,2,0.023810
567,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/567.cha,data/annotated/ENNI_batchalign/SLI/B/567.cha,91,7,9,3,0.032967,0,0.000000,2,0.021978,3,0.032967
569,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/569.cha,data/annotated/ENNI_batchalign/SLI/B/569.cha,97,11,11,11,0.113402,0,0.000000,0,0.000000,0,0.000000
576,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/576.cha,data/annotated/ENNI_batchalign/SLI/B/576.cha,93,12,12,5,0.053763,0,0.000000,0,0.000000,4,0.043011
611,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/611.cha,data/annotated/ENNI_batchalign/SLI/B/611.cha,86,4,4,3,0.034884,0,0.000000,0,0.000000,0,0.000000
667,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/667.cha,data/annotated/ENNI_batchalign/SLI/B/667.cha,95,39,45,22,0.231579,0,0.000000,17,0.178947,3,0.031579
673,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/673.cha,data/annotated/ENNI_batchalign/SLI/B/673.cha,166,24,26,22,0.132530,0,0.000000,0,0.000000,3,0.018072
679,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/679.cha,data/annotated/ENNI_batchalign/SLI/B/679.cha,68,10,10,5,0.073529,0,0.000000,0,0.000000,4,0.058824
680,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/680.cha,data/annotated/ENNI_batchalign/SLI/B/680.cha,68,2,2,0,0.000000,0,0.000000,1,0.014706,1,0.014706
723,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/723.cha,data/annotated/ENNI_batchalign/SLI/B/723.cha,67,3,3,2,0.029851,0,0.000000,0,0.000000,0,0.000000
727,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/727.cha,data/annotated/ENNI_batchalign/SLI/B/727.cha,80,17,18,12,0.150000,2,0.025000,0,0.000000,1,0.012500
731,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/731.cha,data/annotated/ENNI_batchalign/SLI/B/731.cha,62,36,43,27,0.435484,0,0.000000,7,0.112903,7,0.112903
735,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/735.cha,data/annotated/ENNI_batchalign/SLI/B/735.cha,196,8,8,0,0.000000,0,0.000000,0,0.000000,7,0.035714
739,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/739.cha,data/annotated/ENNI_batchalign/SLI/B/739.cha,51,8,8,3,0.058824,0,0.000000,0,0.000000,3,0.058824
774,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/774.cha,data/annotated/ENNI_batchalign/SLI/B/774.cha,94,9,10,6,0.063830,1,0.010638,0,0.000000,2,0.021277
778,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/778.cha,data/annotated/ENNI_batchalign/SLI/B/778.cha,63,16,16,10,0.158730,0,0.000000,0,0.000000,5,0.079365
819,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/819.cha,data/annotated/ENNI_batchalign/SLI/B/819.cha,144,9,9,4,0.027778,0,0.000000,1,0.006944,3,0.020833
