column,dtype,non_null_rows,missing_rows,unique_non_null_values,unique_values_including_null,is_constant,is_id_like
File_kideval,object,360,0,360,360,0,1
Language,object,360,0,1,1,1,0
Corpus,object,360,0,1,1,1,0
Code,object,360,0,1,1,1,0
Age(Month),int64,360,0,73,73,0,0
Sex,object,360,0,3,3,0,0
Group,object,360,0,3,3,0,0
Race,object,360,0,1,1,1,0
SES,object,360,0,1,1,1,0
Role,object,360,0,1,1,1,0
Education,object,360,0,1,1,1,0
Custom_field,object,360,0,1,1,1,0
Design,object,360,0,1,1,1,0
Activity,object,360,0,1,1,1,0
Group_2,object,360,0,2,2,0,0
Total_Utts,int64,360,0,104,104,0,0
MLU_Utts,int64,360,0,100,100,0,0
MLU_Words,float64,360,0,346,346,0,0
MLU_Morphemes,float64,360,0,348,348,0,0
MLU50_Utts,int64,360,0,1,1,1,0
MLU50_Words,float64,360,0,189,189,0,0
MLU50_Morphemes,float64,360,0,208,208,0,0
FREQ_types,int64,360,0,133,133,0,0
FREQ_tokens,int64,360,0,280,280,0,0
NDW_100,int64,360,0,36,36,0,0
VOCD_D_optimum_average,float64,360,0,342,342,0,0
Verbs_Utt,float64,360,0,267,267,0,0
TD_Words,int64,360,0,290,290,0,0
TD_Utts,int64,360,0,103,103,0,0
TD_Time_(secs),int64,360,0,227,227,0,0
TD_Words_Time,float64,352,8,320,321,0,0
TD_Utts_Time,float64,352,8,199,200,0,0
Word_Errors,int64,360,0,30,30,0,0
Utt_Errors,int64,360,0,1,1,1,0
retracing,int64,360,0,46,46,0,0
repetition,int64,360,0,53,53,0,0
DSS_Utts,int64,360,0,11,11,0,0
DSS,float64,341,19,209,210,0,0
IPSyn_Utts,float64,352,8,2,3,0,0
IPSyn_Total,float64,351,9,40,41,0,0
mor_Words,int64,360,0,280,280,0,0
*-PRESP,int64,360,0,56,56,0,0
in,int64,360,0,16,16,0,0
on,int64,360,0,15,15,0,0
*-PL,int64,360,0,29,29,0,0
irr-PAST,float64,352,8,104,105,0,0
*-POSS,int64,360,0,11,11,0,0
u-cop,int64,360,0,35,35,0,0
det:art,int64,360,0,128,128,0,0
*-PAST,int64,360,0,41,41,0,0
*-3S,int64,360,0,52,52,0,0
irr-3S,int64,360,0,20,20,0,0
u-aux,int64,360,0,36,36,0,0
c-cop,int64,360,0,29,29,0,0
c-aux,int64,360,0,36,36,0,0
Total_non_zero_mors,int64,360,0,10,10,0,0
File_ID,int64,360,0,360,360,0,1
File_mlt,object,360,0,360,360,0,1
Age,object,360,0,325,325,0,0
#utterances,int64,360,0,105,105,0,0
#turns,int64,360,0,43,43,0,0
#words,int64,360,0,284,284,0,0
words/turns,float64,360,0,339,339,0,0
utterances/turns,float64,360,0,270,270,0,0
words/utterances,float64,360,0,352,352,0,0
Standard deviation,float64,360,0,343,343,0,0
Age_Month_approx,float64,359,1,323,324,0,0
DSS_tbl_source,object,360,0,360,360,0,1
DSS_tbl_relpath,object,360,0,360,360,0,1
DSS_tbl_transcript,object,360,0,360,360,0,1
DSS_tbl_transcript_relpath,object,360,0,360,360,0,1
DSS_tbl_command,object,360,0,1,1,1,0
DSS_tbl_score,float64,360,0,222,222,0,0
DSS_tbl_score_is_na,int64,360,0,1,1,1,0
DSS_tbl_warning_50,int64,360,0,2,2,0,0
DSS_tbl_CNJ,int64,360,0,164,164,0,0
DSS_tbl_IP,int64,360,0,90,90,0,0
DSS_tbl_IR,int64,360,0,27,27,0,0
DSS_tbl_MV,int64,360,0,109,109,0,0
DSS_tbl_NG,int64,360,0,34,34,0,0
DSS_tbl_PP,int64,360,0,118,118,0,0
DSS_tbl_S,int64,360,0,28,28,0,0
DSS_tbl_SV,int64,360,0,71,71,0,0
DSS_tbl_TOT,int64,360,0,219,219,0,0
DSS_tbl_WHQ,int64,360,0,22,22,0,0
