column,action,category,included_in_severity_features_raw,reason
File_kideval,keep,key,1,Transcript identifier for traceability back to the corpus.
Language,drop,constant,0,Constant provenance column; no analytical value.
Corpus,drop,constant,0,Constant provenance column; no analytical value.
Code,drop,constant,0,Constant provenance column; no analytical value.
Age(Month),keep,covariate,1,Primary age covariate for TD-based developmental normalization.
Sex,keep,grouping,1,Useful demographic covariate if later needed for sensitivity checks.
Group,keep,grouping,1,Clinical group label needed for TD-based normalization and DLD comparisons.
Race,drop,constant_placeholder,0,Empty placeholder metadata column.
SES,drop,constant_placeholder,0,Empty placeholder metadata column.
Role,drop,constant,0,Constant provenance column; no analytical value.
Education,drop,constant_placeholder,0,Empty placeholder metadata column.
Custom_field,drop,constant_placeholder,0,Empty placeholder metadata column.
Design,drop,constant,0,Constant provenance column; no analytical value.
Activity,drop,constant,0,Constant provenance column; no analytical value.
Group_2,drop,redundant_group,0,Redundant alternate group column; `Group` is the primary label.
Total_Utts,drop,redundant_count,0,Near-duplicate utterance count; keep `#utterances` only.
MLU_Utts,drop,redundant_count,0,Near-duplicate utterance count; keep `#utterances` only.
MLU_Words,drop,redundant_mlu,0,Word-based MLU variant; keep `MLU_Morphemes` only.
MLU_Morphemes,keep,feature,1,Chosen MLU representative; keep morpheme-based rather than word-based MLU.
MLU50_Utts,drop,constant,0,Constant column; no analytical value.
MLU50_Words,drop,redundant_mlu,0,Highly correlated MLU-50 variant not needed in the first-pass severity table.
MLU50_Morphemes,drop,redundant_mlu,0,Highly correlated MLU-50 variant not needed in the first-pass severity table.
FREQ_types,drop,redundant_lexical,0,Raw type count is sample-length sensitive; use `VOCD_D_optimum_average` instead.
FREQ_tokens,drop,redundant_count,0,Exact duplicate of `mor_Words` and redundant with retained `#words`.
NDW_100,drop,redundant_lexical,0,Alternative lexical diversity measure; keep VOCD as the primary lexical index.
VOCD_D_optimum_average,keep,feature,1,Primary lexical diversity measure.
Verbs_Utt,drop,secondary_feature,0,"Potentially useful later, but excluded from the first-pass core severity set."
TD_Words,drop,redundant_count,0,Near-duplicate word count; keep `#words` only.
TD_Utts,drop,redundant_count,0,Near-duplicate utterance count; keep `#utterances` only.
TD_Time_(secs),drop,secondary_qc,0,Timing variable not needed in the first-pass severity table.
TD_Words_Time,drop,secondary_qc,0,Timing-normalized word rate not needed in the first-pass severity table.
TD_Utts_Time,drop,secondary_qc,0,Timing-normalized utterance rate not needed in the first-pass severity table.
Word_Errors,drop,raw_count_archival,0,"Raw count retained in the master archive, but severity modeling uses the per-utterance rate."
Utt_Errors,drop,constant,0,Constant column; no analytical value.
