File,[* d:sw],[* m:+ed],[* m:+est],[* m:+s],[* m:0's],[* m:03s:a],[* m:0d],[* m:0ed],[* m:0en],[* m:0ing],[* m:0s],[* m:allo],[* m:b0ed],[* m:base:ed],[* m:base:en],[* m:irr:ed],[* m:unv:a],[* m:vsg:a],[* m:vun:a],[* n:k],[* p:n],[* p:w],[* s:r:der],[* s:r:gc:pro],[* s:r:seg],[* s:r],[* s:u],[* s:uk],[* s:ur]
experiment_condition_C_2shot_018_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_026_B1.cha,0,0,0,0,0,1,0,1,0,16,0,0,0,0,0,0,0,4,1,0,1,0,1,0,1,0,0,0,1
experiment_condition_C_4shot_001_B1.cha,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_c_10shot_026_B1.cha,1,0,0,0,0,13,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
condition_a_zeroshot_013_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_016_B1.cha,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
condition_c_10shot_008_B1.cha,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
experiment_condition_C_6shot_008_B1.cha,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
experiment_condition_C_6shot_014_B1.cha,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
condition_c_10shot_014_B1.cha,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
condition_b_zeroshot_know_024_B1.cha,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,3,0,0,0,13,0,3,0,0,0,0,1,0
condition_a_zeroshot_021_B1.cha,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_004_B1.cha,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_008_B1.cha,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_011_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_001_B1.cha,0,0,0,0,0,4,0,1,1,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0
experiment_condition_C_4shot_026_B1.cha,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
condition_c_10shot_001_B1.cha,2,0,0,0,0,8,0,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_023_B1.cha,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
condition_a_zeroshot_006_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_003_B1.cha,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,6,0,0,0,8,0,0,0,0,2,1,0,0
condition_a_zeroshot_028_B1.cha,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_014_B1.cha,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,1,0,0,0
condition_c_10shot_004_B1.cha,1,0,0,0,0,6,0,2,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_004_B1.cha,1,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_023_B1.cha,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,0
experiment_condition_C_2shot_014_B1.cha,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_028_B1.cha,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,1,0,0,2
experiment_condition_C_4shot_011_B1.cha,0,0,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_008_B1.cha,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_018_B1.cha,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0
condition_c_10shot_018_B1.cha,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_006_B1.cha,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1
experiment_condition_C_2shot_026_B1.cha,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
condition_a_zeroshot_003_B1.cha,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_013_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0
condition_a_zeroshot_016_B1.cha,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
condition_c_10shot_023_B1.cha,1,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_023_B1.cha,0,0,0,0,0,0,0,1,0,14,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_004_B1.cha,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
condition_a_zeroshot_024_B1.cha,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_001_B1.cha,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_018_B1.cha,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
condition_b_zeroshot_know_021_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
condition_c_10shot_011_B1.cha,1,0,0,0,0,9,0,1,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_011_B1.cha,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
condition_a_zeroshot_009_B1.cha,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_012_B1.cha,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
condition_c_10shot_012_B1.cha,1,0,0,0,0,6,0,1,0,1,1,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0
condition_a_zeroshot_027_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_002_B1.cha,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_022_B1.cha,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,3,0,0,0,10,0,0,0,0,2,0,0,0
experiment_condition_C_4shot_007_B1.cha,0,0,0,0,0,6,0,0,0,4,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_020_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_c_10shot_020_B1.cha,0,0,0,0,0,7,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_010_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,1
experiment_condition_C_4shot_029_B1.cha,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
condition_a_zeroshot_015_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_030_B1.cha,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0
condition_b_zeroshot_know_005_B1.cha,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0
experiment_condition_C_2shot_025_B1.cha,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_012_B1.cha,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,4,0,0,1,0,1,0,0,1,0,0,0
experiment_condition_C_2shot_017_B1.cha,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
condition_c_10shot_029_B1.cha,0,0,0,0,0,8,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_029_B1.cha,0,0,0,0,0,6,0,2,0,3,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
experiment_condition_C_4shot_020_B1.cha,1,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
