condition,sample_id,temperature,output_story
Few-Shot (6 Examples),1,0.7,"""The little boy and the dog he got a frog and they put it in a jar yeah and they was happy and they go to sleep. Then the frog went away he went to the window and they was yelling for him frog where are you. The dog he fell out the window yeah and the jar he got stuck on his head and he licked the boy. The boy didn't like the jar was broke.

Then they go to the forest to find the frog and the dog he like the bees they was flying yeah and the boy he look in a hole and the frog wasn't there. The dog was playing with the bees and the boy was like frog where are you. Then the prairie dog he hit the boy in the nose yeah and the dog was howling at the bees.

The owl he jumped out and knocked the boy down yeah and the bees was chasing the dog. The boy he climb on a rock and said frog where are you and he was holding a branch yeah but it was a deer's head. The deer he was running and the dog was running with him yeah.

The deer he was running and he stop at the cliff and down went the boy and the dog yeah in the water splash. Then the boy he say shh to the dog and they look on the other side of the log. And they saw the mommy frog and daddy frog and the little frog yeah they was happy to see him and they said goodbye and they went home yeah."""
Few-Shot (6 Examples),2,0.7,The boy and the dog they got a frog in a jar and they were so happy yeah and they go to sleep. Then the frog go out and go for a walk in the night. The boy wake up and the dog wake up and the frog gone. They look everywhere for the frog. The boy look in his shoes and the dog look in the jar. He get his head stuck in the jar. They yell for the frog 'Frog where you?' The dog fall out the window and the jar break off his head. The boy not happy about the jar. They go to the forest to find the frog. The dog see the bees and the boy see a hole. The dog play with the bees. The boy say 'Frog where you?' The prairie dog hit him in the nose. The dog is howling at the bees. The owl jump out and hit the boy. The bees chase the dog. The boy climb on a rock and say 'Frog where you?' He get stuck on a deer's head. The deer go run and the dog go with him. The deer go down the cliff and the boy and the dog go splash in the water. The boy say 'Shh' to the dog. 'Let's go look on the other side of the log.' They see the mommy and daddy frog and the little frog. They take the little frog and go home. Everyone is happy yeah the end.
Few-Shot (6 Examples),3,0.7,"The little boy and the dog put the froggy in the jar. They was happy. So they go to sleep. That night the froggy said I wanna go for a walk. The little boy and the dog sleep. Next morning the froggy is gone. They can't find it. They look in the shoes. The dog look in the jar. He got his head stuck in the jar. No way.

Then they open the window and yell for the froggy. Froggy where are you? The dog is falling out the window. He break the jar off his head. He lick the boy. The boy is sad. The jar is broken.

They go to the forest. They look for the froggy. The dog see the bees. He wanna catch them. The boy look in the hole. He see the prairie dog. He smack the boy in the nose. The dog is playing with the bees. He wanna catch them.

The boy say Froggy where are you? The owl come down and knock the boy down. The bees is chasing the dog. The boy climb on the rock. He say Froggy where are you? He is holding the branch. But it's a deer's head. The deer is running. The dog is coming with him.

The deer stop at the cliff. Down they go. They splash in the water. The boy say Shh. The dog be quiet. They look on the other side of the log. They see the mommy frog. They see the daddy frog. They see the little froggy. They take the little froggy. They say goodbye. They go home. Everyone is happy. The end."
Few-Shot (6 Examples),4,0.7,"The little boy and the dog they put the frog in a jar. They were very happy. Then they go to bed. That night the frog go out. He go for a walk. 

Then the little boy wake up. He see the frog not there. The frog go away. He look in his shoes. He look everywhere. The dog look back in the jar. He get his head stuck. 

Then they go out the window. They yell for the frog. 'Frog where are you?' The dog fall out the window. He break the jar. The boy not happy. 

Then they go in the forest. They look for the frog. The dog play with the bees. The boy look in a hole. The dog is playing with the bees. He wanna catch them.

The boy said 'Frog where are you?' The dog is howling at the bees. A prairie dog hit him in the nose. The bees chase the dog. The boy is on a rock. He is holding a branch. It's a deer's antler. 

The boy get stuck. The deer run. The dog go with him. They stop at the cliff. Down they go. In the water splash. The boy say 'Shh'. The dog be quiet. They look on the other side of the log. They see a mommy frog. A daddy frog. They see a family of frogs. They take their little friend frog. They say goodbye. They go home. Everyone happy."
Few-Shot (6 Examples),5,0.7,"The little boy and the dog they got a frog. They put him in a jar. They was happy. They went to sleep. The frog got out. He went for a walk. They woke up. The frog was gone. They looked everywhere. The dog got his head stuck in the jar. They yell for the frog. 'Frog where are you?' The dog fell out the window. He broke the jar. The little boy was mad. They went to the forest. They looked for the frog. The dog saw some bees. The boy looked in a hole. The dog was playing with the bees. He wanted to catch them.

The boy said 'Frog where are you?' A doggy came out. He smacked the boy in the nose. The dog was howling at the bees. They was chasing the dog. The boy climbed up high. He said 'Frog where are you?' He was on a big rock. But it was a deer's head. The boy got stuck. The deer said 'Sorry.' He ran to get the boy off. The dog was with him. They went to the edge of a cliff. Down went the boy and the dog. Splash.

The boy said 'Shh.' 'Let's look on the other side of the log.' They saw some frogs. They saw a mommy frog and daddy frog. They saw little frogs. They said goodbye to the frogs. They took their friend frog. They went home. The boy and the dog was happy. The end."
Few-Shot (6 Examples),6,0.7,"The little boy and the dog put their frog in the jar. They were so happy. Then they said goodnight and went to sleep. And then the frog got out of the jar. He went for a little walk. He was gone. The little boy and the dog woke up. They looked everywhere. The frog was nowhere. The little boy looked in his shoes. The dog looked in the jar. He got his head stuck. 

The little boy and the dog said 'Frog where are you?' They yelled out the window. The dog fell out the window. He broke the jar. He licked the boy. The boy was not happy. The jar was broke. They went to the forest. They looked for the frog. The dog saw the bees. He was playing with them. The boy looked down in a hole. The dog was playing with the bees.

The boy said 'Frog where are you?' A dog hit him in the nose. The dog was barking at the bees. An owl knocked the boy down. The bees were chasing the dog. The boy climbed on a rock. He said 'Frog where are you?' He got stuck on the deer's head. The deer ran. The boy and the dog fell down. They splashed in the water.

The boy said 'Shh' to the dog. 'Let's go look.' They looked on the other side of the log. They saw a mommy frog. She had a daddy frog. They had lots of frogs. They said goodbye to their little frog friend. They went home. The boy and the dog went home too. They were happy."
Few-Shot (6 Examples),7,0.7,"The little boy and the dog put the froggy in the jar. They was happy. Then they went to bed. That night the froggy went out the jar and went for a little walk. He was gone.

The little boy and the dog woke up. The froggy was gone. They looked everywhere. They looked in the boy's shoes. They looked in the jar. But the dog's head got stuck in the jar. 

They opened the window. They yelled for the froggy. 'Froggy where are you?' The dog was getting dizzy. He fell out the window. He broke the jar off his head. He licked the boy. The boy was mad.

They went to the forest. They looked for the froggy. The dog saw the bumblebees. The boy saw a hole. The dog was playing with the bumblebees. He was trying to catch them.

The boy said 'Froggy where are you?' A little dog came out and hit him in the nose. The dog was barking at the bumblebees. The owl jumped out and knocked the boy down. The bumblebees chased the dog.

The boy climbed on a rock. He said 'Froggy where are you?' He was holding a branch. But it was a deer's antler. The boy got stuck on the deer's head. The deer ran to get him off. The dog came with him. The deer stopped at the cliff. Down went the boy and the dog. They splashed in the water.

The boy said 'Shh' to the dog. 'Let's look on the other side of the log.' And what did they see? The mommy and daddy frog and the little frogs. They took their little friend frog. They said goodbye. They went home. Everyone was happy. The end."
Few-Shot (6 Examples),8,0.7,"""Little boy and dog, they have frog. They put frog in a jar. Then they go to sleep. Frog wake up and go for a walk. Next morning, frog is gone. Little boy and dog look everywhere. They look in shoes. They look in jar. Dog get his head stuck in jar. They yell for frog. Frog, where are you? Dog fall out the window. Dog break jar. Little boy not happy. Jar is broken.

They go in forest. They look for frog. Dog see bees. Little boy look in hole. Dog play with bees. Boy say frog, where are you? Prairie dog hit him in nose. Dog howl at bees. Bee chase dog. Boy climb on rock. He say frog, where are you? He get stuck on deer's head. Deer run. Dog come with him. Deer stop at cliff. Down go boy and dog. They splash in water.

Boy say shh to dog. Let's look on other side of log. They see mommy frog, daddy frog, and little frog. They take little frog. Say goodbye. Go home. Everyone happy. The end."""
Few-Shot (6 Examples),9,0.7,"The little boy and the dog put the frog in the jar. They was very happy. Then they go to bed. That night, the frog get out of the jar. He go for a little walk. 

The little boy wake up. The frog not there. He go everywhere. The dog look in the jar. His head get stuck. Oh no. The little boy yell for the frog. 'Frog where you?' The dog fall out the window. He break the jar. The boy no happy. 

They go to the forest. They look for the frog. The dog see some bees. He wanna play. The little boy see a hole. The dog in the hole. The boy say 'Frog where you?' A dog come out. He smack the boy in the nose. The dog howling at the bees. The bees go chase the dog. 

The boy climb up a big rock. He say 'Frog where you?' He see a deer. The boy get stuck. The deer run. The dog go with him. The deer go to the cliff. The boy and the dog go splash in the water. 

The boy say 'Shh' to the dog. They look on the other side of the log. They see mommy and daddy frog. They see little frog. They take the frog. They go home. The end."
Few-Shot (6 Examples),10,0.7,"The little boy and the dog had a froggy in a jar and they was happy and then they go to bed. That night the froggy went out and he go for a walk. Then the little boy and the dog woke up and the froggy is gone.

The little boy looked in his shoe and he looked everywhere. The dog looked in the jar and his head got stuck in the jar. Oh no. They yell for the froggy. Froggy where are you? The dog fall out the window. The dog break the jar off his head. He lick the boy.

Then they go to the forest and look for the froggy. The dog is playing with the bees. The little boy look down in a hole. The dog is playing with the bees and the boy said Froggy where are you? A doggy come out and smack him in the nose.

The dog is howling at the bees. An owl come out and knock the little boy down. The bees go after the dog. The boy go on a big rock and said Froggy where are you? He is holding a branch but it is a deer's head. The boy get stuck on the deer's head.

The deer run and the boy and the dog go down the cliff. They go splash in the water. The boy hear something. He say Shh to the dog. Let's look on the other side of the log. And what they see? Froggy's mommy and daddy and all his friends. They take him and go home. The little boy and the dog go home happy."
