condition,sample_id,temperature,output_story
Few-Shot (10 Examples),1,0.7,"""The little boy he have frog yeah. He put frog in a jar and the dog is happy. They go to sleep. Then frog get out. He go for a walk. The little boy wake up. The frog is gone. He look in his shoe. He look everywhere. The dog he look back in the jar. He get his head stuck. No get out no. He look out the window. He yell for frog. Frog where are you yeah.

The dog is losing balance. He fall out the window. He break the jar. He lick the boy. The boy is not happy. He is sad. He want the jar. He want the frog. So they go in the forest. They look for frog. The dog he see bumblebees. He like bumblebees. He play with them. The boy he look down. He see a hole. The dog he get bumblebees on him. He is howling. He is running.

The boy he say frog where are you. Then prairie dog come out. He smack the boy in the nose. The dog he is howling. He is running. He is chasing the bumblebees. The boy he climb up a rock. He say frog where are you. He is holding a branch. It is deer's head. The boy he get stuck. The deer he run. He run to get the boy off his head. The dog he is coming with him. The deer he stop. He stop at the cliff. Down goes the boy and the dog. They go splash. They go in the water.

The boy he say shh. He look on the other side of the log. He see mommy and daddy frog. He see little frog. He see frog family. He take his frog. He say goodbye. He go home. Everyone is happy. The end."""
Few-Shot (10 Examples),2,0.7,The little boy and the dog they have a frog. They put frog in a jar. They are very happy. Then they go to sleep. And frog he wanna go walk. And he get out the jar. Next morning boy wake up frog is gone. He go away. They cannot believe. Boy look in his shoe. Dog look in the jar. But his head stuck in the jar. Then they open the window. 'Frog where are you?' The dog he fall out the window. He break the jar. Then they go to the forest. They look for frog. The dog he see the bees. He wanna catch them. The boy he look down. He see a hole. Then he say 'Frog where are you?' A prairie dog he smack him in the nose. The dog he is howling at the bees. An owl he jump out. He knock the boy down. The bees they are chasing the dog. The boy he climb on the rock. He say 'Frog where are you?' But it is a deer. The boy he get stuck on the deer's head. The deer he run. The boy he go down. The dog he come with him. They go down the cliff. They splash in the water. The boy he say 'Shh'. 'Let's look on the other side of the log.' And they see the frog family. They have mommy daddy and little frog. They take little frog. Say goodbye. Go home. Everyone is happy. The end.
Few-Shot (10 Examples),3,0.7,"The little boy and the dog they have a frog. They put him in a jar. They are happy then they go to bed. The frog he is sneaky. He go outside and he go for a walk.

The little boy and the dog wake up. The frog he is gone. They are looking everywhere. They look in shoes and they look in the jar. But the dog he is stuck in the jar. He is trying to get out but he is stuck.

They open the window and they are yelling. 'Frog where are you?' The dog he is falling out the window. He break the jar on his head. He lick the boy. The boy he is not happy. He is sad because the jar is broken.

They go to the forest. They are looking for the frog. The dog he is playing with the bumblebees. He is trying to catch them. The boy he is looking down in the hole. He is saying 'Frog where are you?' But it is not the frog. It is a prairie dog. The prairie dog he is smacking the boy in the nose.

The dog he is howling. He is playing with the bumblebees. They are hanging from the beehive. An owl he is jumping out of the tree. He is knocking the boy down. The bumblebees they are chasing the dog.

The boy he is climbing up on a rock. He is saying 'Frog where are you?' But it is not the frog. It is a deer's antler. The boy he is stuck. The deer he is running. The dog he is coming with him. They are running together. They stop at the cliff. And down they go. Right into the water. Splash.

The boy he is saying 'Shh'. He is quiet. The dog he is quiet too. They are looking on the other side of the log. And what do they see? They see a mommy frog. They see a daddy frog. They see a whole family of frogs. They are taking their little frog friend. They are saying goodbye. And they are going home. Everyone is happy. The end."
Few-Shot (10 Examples),4,0.7,"The little boy and the dog they have frog. They put frog in a jar. They are very happy yeah. Then they go to bed. That night the frog he wanna go for a walk. He sneak out while they are sleeping. They wake up in the morning and frog is gone. He go away. They are like what happen. The little boy look in his shoe. He look everywhere. The dog look in the jar. He get his head stuck in the jar. No he get it out.

They open the window. They yelling for frog. Frog where are you. The dog he is losing his balance. He fall out the window. The dog break the jar on his head. He lick the boy. The boy no he is mad. The jar is broke.

Then they go in the forest. They look for frog. The dog he is looking at the bees. The little boy he is looking down. He see a hole. The dog he is playing with bees. He try to catch them.

The boy he is like frog where are you. A prairie dog he come out. He smack the boy in the nose. The dog he is howling at bees. He is hanging from the beehive. The owl he come out of the tree. He knock the boy down. The bees they are chasing the dog.

The boy he is climbing on a big rock. He is like frog where are you. He is holding onto a branch. But it is the deer's head. The boy he is stuck on the deer's head. The deer he is running. The dog he is coming with him. They are worried. The deer he stop at the edge of the cliff. Down goes the boy and the dog. They go in the water splash.

The boy he is quiet. He is like shh. The dog he is quiet too. They look on the other side of the log. They see mommy and daddy frog. They see little frogs. They take their frog. They say goodbye. They go home. They are happy yeah the end."
Few-Shot (10 Examples),5,0.7,"The little boy and the dog have a frog in the jar. They so happy. Then they go to bed. The frog get out the jar. He go for a little walk. The little boy wake up in the morning the frog is gone. He is not there. They look everywhere. The dog look back in the jar. His head stuck in the jar. 

They yell for the frog. 'Frog where you?' The dog fall out the window. He break the jar on his head. He lick the boy. The boy is not happy. The jar is break. They go to the forest to find the frog. The dog see the bumblebees. He want to catch them. The boy look down in a hole. He say 'Frog where you?' A prairie dog hit him in the nose. The dog is barking at the bumblebees. 

The owl come out of the tree. He hit the boy down. The bumblebees are chasing the dog. The boy climb on a big rock. He say 'Frog where you?' He is holding onto a branch. It is the deer's antler. The boy get stuck on the deer's head. The deer run to get him off. The dog come with him. The deer stop at the edge of the cliff. Down go the boy and the dog. They splash in the water.

The boy say 'Shh' to the dog. 'Let's look on the other side of the log.' They see the mommy and daddy frog. They have a little family. They take the little frog. They say goodbye. They go home. Everyone is happy. The end."
Few-Shot (10 Examples),6,0.7,"""Little boy and dog they put frog in a jar. They are happy then they go to sleep. Frog he wanna go outside and walk. Then little boy and dog wake up frog is gone he go away. They look everywhere they look in his shoes. Dog look in the jar his head got stuck in the jar.

Then they yell for frog 'Frog where are you?' Dog he is falling out the window. He broke jar on his head. Little boy not happy jar is broken. They go in the forest look for frog. Dog see bees they are coming from beehive. Little boy look down in hole. Dog he is playing with bees.

Little boy say 'Frog where are you?' Prairie dog come and hit him in the nose. Dog is howling at bees. Owl come and knock little boy down. Bees they are chasing dog. Little boy climb on big rock he say 'Frog where are you?' He is holding onto deer's head. Deer run little boy and dog go down. They go in the water splash.

Little boy say 'Shh' to dog. They look on the other side of log. They see mommy frog daddy frog and baby frog. They get little frog say goodbye and go home. Little boy and dog they are happy. They go home with little frog."""
Few-Shot (10 Examples),7,0.7,"The boy and the dog they put the frog in the jar. They were happy. They go to sleep. The frog he is little he is small he wanna go out. He go out. He is gone. The boy wake up and the dog wake up. The frog is gone. They look everywhere. They look in the boy shoes. They look everywhere. The dog go back in the jar. His head is stuck. Stuck in the jar.

They go to the window and they yell. 'Frog where are you?' The dog he is falling. He fall out the window. He is happy. The boy is not happy. The jar is broke. They go in the forest. They look for the frog. The dog see the bees. The boy see the hole. The dog is playing with the bees. He wanna catch them.

The boy he is saying. 'Frog where are you?' The prairie dog he hit the boy. The dog he is howling. He is playing with the bees. The owl he is jumping. He is hitting the boy. The bees they are chasing the dog.

The boy he is climbing. He is climbing on the rock. He is holding a branch. It is a deer's antler. The boy he is stuck. The deer he is running. He is running with the dog. The dog he is worried. The deer he is stopping. He is stopping at the edge. The boy and the dog they are going down. Down they are going. Splash.

The boy he is saying. 'Shh' to the dog. 'Let's go look.' They are looking. They see the mommy frog. They see the daddy frog. They see the little frog. They are happy. They are taking the frog. They are saying goodbye. They are going home. The end."
Few-Shot (10 Examples),8,0.7,"""The little boy and the dog he put frog in the jar. And he happy yeah. Then they go to bed. That night frog he go out and go for a walk. He want to go yeah.

Next morning little boy and the dog wake up. Frog is gone. No frog. They look everywhere. He look in the shoes yeah. Then dog look in the jar. He got his head stuck in the jar. Oh no.

Then they yell for the frog. Frog where are you? Dog fall out the window. He break the jar off his head. He lick the little boy. Little boy no happy. He want the jar.

So they go to the forest. They look for the frog. Dog he see the bees. He want the bees. Little boy he look down in the hole. He say Frog where are you? Prairie dog come out and hit him in the nose. Dog is barking at the bees. They are hanging from the beehive.

Owl come out of the tree. Owl hit the little boy. Bees chase the dog. Dog is running. Boy he climb up on the rock. He say Frog where are you? He is holding the branch. It is the deer's head. Deer is running. Boy and dog go down the cliff. They go splash in the water.

Boy say Shh to the dog. They go look on the other side of the log. They see mommy frog and daddy frog. They see little frog's family. They say goodbye to the family. They take the little frog and go home. Everyone happy. The end."""
Few-Shot (10 Examples),9,0.7,"The boy and the dog they have a frog in a jar. They are happy. They go to bed. Then the frog he is like no I wanna go for a walk. He go away. Next morning the boy and the dog they cannot find the frog. They look everywhere. The boy look in his shoes and the dog look in the jar. Then the dog get stuck in the jar. They say frog frog where are you. They yell. The frog is not there.

The boy and the dog they go to the forest. They look for the frog. The dog see bumblebees. He want to play with the bumblebees. The boy see a hole. He look in the hole. Then the prairie dog he come out and he hit the boy in the nose. The dog is barking at the bumblebees. The bumblebees they are chasing the dog.

The boy he is on a rock. He say frog frog where are you. He is holding a branch. But it is a deer's antler. The boy he is stuck. The deer he is running. The dog he is running with him. The deer he is running to the cliff. Down they go. Splash in the water.

The boy he is quiet. He say shh to the dog. They look on the other side of the log. They see a mommy frog and daddy frog. They see a frog family. They take their little frog friend. They say goodbye. The boy and the dog they go home. They are happy."
Few-Shot (10 Examples),10,0.7,"The boy and the dog they have a frog in a jar. They are very happy. Then they go to bed. That night the frog go out. He go for a walk. He go away. They wake up and the frog is gone. They look everywhere. The dog he look in the jar and his head get stuck. The boy he look in his shoes and he look everywhere. 

They decide to open the window and yell for the frog. Frog where are you? The dog he fall out the window. He break the jar off his head. He lick the boy. The boy he not happy that the jar is broken. They go to the forest to find the frog. The dog he see the bumblebees. He play with the bumblebees. 

The boy he lean down in a hole and say Frog where are you? A prairie dog he come out and smack the boy in the nose. The dog he howling at the bumblebees. The owl he jump out of the tree and knock the boy down. The bumblebees they go chase the dog.

The boy he climb on a big rock and say Frog where are you? He hold onto a branch. But it is the deer's head. The boy he get stuck on the deer's head. The deer he run to get him off his head. The dog he come with him. The deer he stop at the edge of the cliff and down go the boy and the dog. They splash in the water.

The boy he say Shh to the dog. Let's look on the other side of the log. And they see the mommy frog and daddy frog and a whole family of frogs. They take the little frog and say goodbye to the family. They go home. Everyone is happy. The end."
