condition,sample_id,temperature,output_story
Few-Shot (10 Naturalistic Examples),1,0.7,"""The little boy and the doggy have a frog. They put it in a jar. And they are very happy. So they go to bed. That night the froggy want to go out. He go for a little walk. Next morning the froggy is gone. He go away. The little boy look in his shoes. He look everywhere. The dog look back in the jar. His head got stuck. Um... in the jar. 

They open the window. They yell for the froggy. 'Froggy where are you?' The doggy is losing his balance. He fall out the window. He break the jar off his head. He lick the boy. The boy is not happy. The jar is broken.

So they go to the forest. They look for the froggy. The doggy is playing with the bumblebees. He want to catch them. The boy look down in a hole. 'Froggy where are you?' A prairie dog come out and say ow. The doggy is howling at the bumblebees. They hanging from the beehive. An owl come out and knock the boy down. The bumblebees go chase the doggy.

The boy climb on a big rock. 'Froggy where are you?' He is holding a branch. But it is a deer's head. The boy get stuck. The deer run to get him off his head. The doggy come with him. The deer stop at the edge. Down go the boy and the doggy. Right into the water. Splash.

The boy say 'Shh'. 'Let's look on the other side.' And what do they see? A mommy frog and daddy frog. They have a family. They take their little friend. They say goodbye. And they go home. Everyone is happy. The end."""
Few-Shot (10 Naturalistic Examples),2,0.7,"Um the little boy and the dog they put frog in jar. And they were happy. So they go to bed. And that night frog go out and go for a walk. 

When the little boy and the dog wake up next morning, frog is gone. He went away. They don't know where he go. The little boy look in shoes. He look everywhere. The dog look back in jar. And his head got stuck in jar.

So they go out the window and yell for frog. 'Frog where are you?' And the little dog fall out the window. He fall down. And the jar break. And the boy not happy. The jar is broken.

So they go in the forest and look for frog. The dog see bumblebees. He want to catch bumblebees. The little boy look down in hole. The dog is playing with bumblebees. He is trying to catch them.

The boy lean in and say 'Frog where are you?' And then a prairie dog come out and smack him in the nose. The dog is howling. He is chasing bumblebees. And an owl come out of the tree. And knock the little boy down. The bumblebees go after the dog.

The boy climb up on a big rock. He say 'Frog where are you?' He is holding onto a branch. But it is a deer's antler! The boy get stuck on deer's head. The deer go run to get him off his head. The dog come with him. The dog is worried. The deer stop at the edge of a cliff. And the little boy and the dog go down. They splash in the water.

The boy say 'Shh' to the dog. 'Let's look on the other side of this log.' And what they see? Mommy and daddy frog. And they have a whole family of frogs. They take their little friend frog. Say goodbye to the family. And they go home. Everyone is happy. The end."
Few-Shot (10 Naturalistic Examples),3,0.7,"The little boy and the doggy got a frog. They put it in a jar. They are happy. Then they go to bed. Um... that night... froggy go out for a walk.

And the next day, the little boy and the doggy wake up. Froggy is gone. He went away. They look everywhere. They look in the boy's shoes. They look in the doggy's ears. They look in the jar. And the doggy's head got stuck in the jar.

Then they go to the window and yell ""Froggy, where are you?"" The doggy fall out the window. He break the jar. He lick the boy. The boy is not happy.

So they go to the forest. They look for froggy. The doggy see the bumblebees. He want to play with them. He want to catch them. The boy look down in a hole. He say ""Froggy, where are you?""

A prairie dog come out and smack the boy in the nose. The doggy is howling. He want to catch the bumblebees. An owl come out and knock the boy down. The bumblebees go chase the doggy.

The boy climb up on a big rock. He say ""Froggy, where are you?"" He hold onto a branch. But it's actually a deer's antler! The boy get stuck on the deer's head. The deer run to get him off. The doggy come with him. The deer stop at the edge of a cliff. Down goes the boy and the doggy. Splash!

The boy say ""Shh"" to the doggy. ""Let's look on the other side of this log."" And what do they see? A mommy and daddy frog and a whole family of frogs! They take their little friend frog. They say goodbye. They go home. Everyone is happy. The end!"
Few-Shot (10 Naturalistic Examples),4,0.7,"*The little boy and the dog have frog in jar. They very happy. So they go to bed. That night, while they sleep, frog decide go out for little walk. 

When little boy and dog wake up, frog gone. He go away. They can't believe. Little boy look in his shoes. He look everywhere. Dog look back in jar. His head get stuck in jar. 

So they decide open window. Start yelling for frog. 'Frog, where you?' Little dog lose balance. He fall out window. Dog break jar off his head. He lick boy. Boy not seem very happy jar is broke. 

So they decide go out in forest. Look for frog. Dog like bumblebees. Little boy look down in hole. Little dog play with bumblebees. Try catch them. 

Boy lean in and say 'Frog, where you?' Prairie dog come out. Smack boy in nose. Dog howl at bumblebees hanging from beehive. Owl jump out tree. Knock boy down. Bumblebees go chase dog. 

Boy climb up big rock. Say 'Frog, where you?' He holding onto branch. But it actually antler of big deer. Boy get stuck on deer's head. Deer decide run get him off his head. Dog come with him because he worried. Deer stop at edge of cliff. Down go little boy and dog. Right into water. Splash! 

Boy hear something. He say 'Shh' to dog. 'Let's look on other side of log.' What they see? Mommy and daddy frog. Whole family of frogs. They take little friend frog. Say goodbye to family. Go home. Everyone happy. The end!*"
Few-Shot (10 Naturalistic Examples),5,0.7,"""The little boy and dog put froggy in a jar. They so happy! Then they go to sleep. Froggy say I wanna go for a walk. While they sleep, froggy get out and go away. The little boy and dog wake up, froggy is gone. He go away. They can't believe it. The little boy look in his shoes, he look everywhere. Doggy look in the jar, his head get stuck. Stuck! 

They say Froggy where are you? Doggy fall out the window. He break the jar. The little boy not happy. They go to the forest, look for froggy. Doggy see bumblebees, he wanna catch them. The little boy look in a hole. Doggy play with bumblebees. 

The boy say Froggy where are you? Prairie dog come out and smack him in the nose. Doggy is howling. An owl come out, knock the boy down. Bumblebees chase doggy. 

The boy go on a rock and say Froggy where are you? He is holding a branch. But it is a deer's antler. The boy get stuck on the deer's head. Deer say I wanna run. Doggy come with him. Deer stop at a cliff. Down go the boy and dog. Splash! 

The boy say Shh to doggy. Let's look on the other side of the log. They see mommy and daddy frog and little froggy. They take little froggy and say goodbye. They go home. Everyone happy. The end."""
Few-Shot (10 Naturalistic Examples),6,0.7,"The little boy and the doggy put the froggy in a jar. They are very happy. So they go to bed. That night the froggy say I am going to go for a little walk. When they wake up, the froggy is gone. He went away. They are like what happened. The little boy look in his shoes. He look everywhere. The dog look back in the jar. His head get stuck in the jar.

So they open up the window. They yell for the froggy. 'Froggy, where are you?' The doggy is falling out the window. He break the jar off his head. He lick the boy. The boy is not happy the jar is break.

So they go to the forest. They look for the froggy. The doggy is playing with the bumblebees. He is trying to catch them. The boy is looking down in a hole. A prairie dog come out and smack him in the nose. The doggy is howling at the bumblebees. An owl jump out of the tree. He knock the little boy down.

The bumblebees is chasing the doggy. The boy is climbing up on a big rock. He say 'Froggy, where are you?' He is holding onto a branch. But it is actually the antler of a big deer! The boy get stuck on the deer's head. The deer say I am going to run. The doggy is coming with him. He is worried. The deer stop at the edge of a cliff. Down go the little boy and the doggy. Right into the water. Splash!

The boy hear something. He say 'Shh' to the doggy. 'Let's look on the other side of this log.' And what do they see? A mommy frog and a daddy frog. They have a whole family of frogs. They take their little friend frog. They say goodbye to the family. They go home. Everyone is happy. The end."
Few-Shot (10 Naturalistic Examples),7,0.7,"The little boy and the dog put their frog in a jar. They was happy. Then they go to bed. But the frog go out. He go for a walk. The little boy and the dog wake up. The frog is gone. They look everywhere. They look in the jar. The dog get his head stuck in the jar.

The little boy and the dog yell for the frog. ""Frog where are you?"" The dog fall out the window. The dog break the jar. The little boy is sad.

The little boy and the dog go to the forest. They look for the frog. The dog is playing with the bees. The little boy look down in a hole. The dog is playing with the bees. The boy say ""Frog where are you?""

A prairie dog come out and smack him in the nose. The dog is howling at the bees. An owl come out and knock the little boy down. The bees go chase the dog.

The boy climb up on a rock. He say ""Frog where are you?"" He is holding a branch. But it is the deer's antler. The boy get stuck on the deer's head. The deer run to get him off. The dog come with him. They go to the edge of a cliff. They go down. Splash.

The boy say ""Shh"" to the dog. ""Let's look on the other side of the log."" They see mommy frog and daddy frog. They see the frog family. They take their little friend frog. They say goodbye to the frog family. They go home. Everyone is happy. The end."
Few-Shot (10 Naturalistic Examples),8,0.7,"""The little boy and the doggy put froggy in a jar. And they was very happy. So they go to bed. And then... froggy go for a walk. He go away. The little boy and the doggy wake up. And froggy is not there. The little boy look in his shoes. The doggy look in the jar. But doggy's head got stuck. Uh-oh!

So they open the window. And they yell for froggy. 'Froggy where are you?' And the doggy fall out the window. The doggy break the jar. The boy is not happy. The jar is broke.

So they go to the forest. And they look for froggy. The doggy see bumblebees. He want to catch them. The boy look down in a hole. He say 'Froggy where are you?' But prairie dog come and hit him. The doggy is playing with bumblebees. He is howling.

An owl come out. He knock the boy down. The bumblebees chase the doggy. The boy climb up on a big rock. He say 'Froggy where are you?' He is holding a branch. But it is a deer's antler. The boy get stuck. The deer come and run. The doggy come too. He is worried.

The deer stop at the edge of the cliff. And the boy and the doggy fall in the water. Splash! The boy say 'Shh' to the doggy. 'Let's look on the other side of the log.' And what they see? Mommy and daddy frog. And a whole family of frogs. They take their little friend frog. They say goodbye. And they go home. Everyone is happy. The end!"""
Few-Shot (10 Naturalistic Examples),9,0.7,"The little boy and the doggy put the froggy in the jar. They was happy. They go to bed. That night, the froggy get out and go for a little walk. He go away. The little boy and the doggy wake up. The froggy is gone. They can't believe it.

The little boy look in his shoes. He look everywhere. The doggy look back in the jar. His head get stuck. They go to the window. They yell ""Frog, where are you?"" The little doggy fall out the window. The jar break. The boy is sad.

They go to the forest. They look for the froggy. The doggy see some bees. He want to catch them. The boy look down in a hole. The doggy play with the bees. A prairie dog come out and smack the boy in the nose. The doggy howl at the bees. An owl come out and knock the boy down. The bees chase the doggy.

The boy climb on a rock. He say ""Frog, where are you?"" He hold onto a branch. It's the deer's antler. The boy get stuck. The deer run. The doggy come with him. They stop at the cliff. Down they go. Splash!

The boy say ""Shh"" to the doggy. ""Let's look on the other side of this log."" They see a mommy and daddy frog. They see a whole family of frogs. They take their little friend frog. They say goodbye. They go home. Everyone is happy. The end."
Few-Shot (10 Naturalistic Examples),10,0.7,"*The little boy and the dog put the frog in a jar. They are very happy. So they go to bed. That night, the frog go out and go for a walk. He is sneaky. The little boy and the dog wake up. The frog is gone. They look everywhere. They look in the boy's shoes. They look in the jar. The dog's head get stuck in the jar. 

They go out the window and yell 'Frog where are you?' The dog fall out the window. He get the jar off his head. He lick the boy. The boy not happy. The jar is broke. They go to the forest to look for the frog. The dog play with the bumblebees. The boy look down in a hole. 

The boy say 'Frog where are you?' A prairie dog come out and hit him in the nose. The dog howl at the bumblebees. An owl come out and knock the boy down. The bumblebees chase the dog. The boy climb up on a rock and say 'Frog where are you?' He is holding a branch. But it is a deer's antler. The boy get stuck on the deer's head. The deer run to get him off. The dog come with him because he worry. 

The deer stop at the edge of a cliff. Down go the boy and the dog. They splash in the water. The boy say 'Shh' to the dog. Let's look on the other side of this log. They see a mommy frog and a daddy frog. They see little frogs. They take their frog friend and say goodbye. They go home. Everyone is happy. The end.*"
